,CAMBARI,CARRIZAL,HUACATA,INCAHUASI
1980-01-13 10:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 11:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 12:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 13:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 14:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 15:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 16:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 17:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 18:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 19:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 20:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 21:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 22:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-13 23:00:00,9.255512392112903,11.4815030794741,0.606573400754717,109.20146053188265
1980-01-14 00:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 01:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 02:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 03:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 04:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 05:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 06:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 07:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 08:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 09:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 10:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 11:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 12:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 13:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 14:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 15:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 16:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 17:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 18:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 19:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 20:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 21:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 22:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-14 23:00:00,9.14750301048387,11.836664000407872,0.6341449189708406,113.6562169022494
1980-01-15 00:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 01:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 02:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 03:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 04:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 05:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 06:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 07:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 08:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 09:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 10:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 11:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 12:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 13:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 14:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 15:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 16:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 17:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 18:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 19:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 20:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 21:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 22:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-15 23:00:00,9.32593857198387,11.217165752824922,0.606573400754717,108.23260096254278
1980-01-16 00:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 01:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 02:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 03:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 04:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 05:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 06:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 07:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 08:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 09:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 10:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 11:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 12:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 13:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 14:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 15:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 16:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 17:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 18:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 19:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 20:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 21:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 22:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-16 23:00:00,8.567841376161292,10.437483603879347,0.5606208703945113,100.42179494992666
1980-01-17 00:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 01:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 02:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 03:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 04:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 05:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 06:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 07:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 08:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 09:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 10:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 11:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 12:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 13:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 14:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 15:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 16:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 17:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 18:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 19:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 20:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 21:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 22:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-17 23:00:00,7.406260858161292,10.372641883581641,0.55143036432247,99.0434174182885
1980-01-18 00:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 01:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 02:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 03:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 04:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 05:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 06:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 07:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 08:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 09:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 10:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 11:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 12:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 13:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 14:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 15:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 16:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 17:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 18:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 19:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 20:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 21:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 22:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-18 23:00:00,6.839465545161291,10.043688765973771,0.5330493521783878,95.74729723393642
1980-01-19 00:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 01:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 02:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 03:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 04:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 05:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 06:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 07:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 08:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 09:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 10:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 11:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 12:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 13:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 14:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 15:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 16:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 17:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 18:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 19:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 20:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 21:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 22:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-19 23:00:00,7.318453858258066,11.563063570859018,0.606573400754717,108.8918249994132
1980-01-20 00:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 01:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 02:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 03:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 04:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 05:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 06:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 07:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 08:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 09:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 10:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 11:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 12:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 13:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 14:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 15:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 16:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 17:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 18:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 19:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
1980-01-20 20:00:00,11.113680061016131,14.136850600933773,0.7352404857632934,131.29545401002446
