,KILPANI,LANDARA,PUNUTUMA
1988-04-01 14:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 15:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 16:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 17:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 18:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 19:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 20:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 21:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 22:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-01 23:00:00,0.25578230287206266,0.2795107106796117,1.84475047125
1988-04-02 00:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 01:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 02:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 03:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 04:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 05:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 06:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 07:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 08:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 09:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 10:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 11:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 12:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 13:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 14:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 15:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 16:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 17:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 18:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 19:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 20:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 21:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 22:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-02 23:00:00,0.725934535770235,0.7919470135922331,5.221072845375001
1988-04-03 00:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 01:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 02:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 03:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 04:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 05:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 06:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 07:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 08:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 09:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 10:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 11:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 12:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 13:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 14:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 15:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 16:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 17:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 18:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 19:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 20:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 21:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 22:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-03 23:00:00,0.3434790924281984,0.37462199417475733,2.466817490625
1988-04-04 00:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 01:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 02:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 03:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 04:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 05:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 06:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 07:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 08:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 09:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 10:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 11:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 12:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 13:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 14:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 15:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 16:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 17:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 18:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 19:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 20:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 21:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 22:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-04 23:00:00,0.9841528605744125,1.0733987708737864,7.07869366875
1988-04-05 00:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 01:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 02:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 03:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 04:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 05:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 06:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 07:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 08:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 09:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 10:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 11:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 12:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 13:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 14:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 15:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 16:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 17:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 18:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 19:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 20:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 21:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 22:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-05 23:00:00,0.1997537984334204,0.21739721941747575,1.4371893206250002
1988-04-06 00:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 01:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 02:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 03:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 04:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 05:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 06:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 07:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 08:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 09:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 10:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 11:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 12:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 13:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 14:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 15:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 16:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 17:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 18:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 19:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 20:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 21:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 22:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-06 23:00:00,0.15346938172323762,0.1669300077669903,1.1025601653750001
1988-04-07 00:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 01:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 02:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 03:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 04:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 05:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 06:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 07:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 08:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 09:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 10:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 11:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 12:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 13:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 14:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 15:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 16:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 17:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 18:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 19:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 20:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 21:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 22:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-07 23:00:00,0.14616131592689297,0.16110686796116502,1.059658991625
1988-04-08 00:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 01:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 02:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 03:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 04:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 05:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 06:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 07:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 08:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 09:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 10:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 11:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 12:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 13:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 14:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 15:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 16:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 17:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 18:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 19:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 20:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 21:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 22:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-08 23:00:00,0.11692905274151437,0.12810907572815533,0.845153122875
1988-04-09 00:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 01:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 02:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 03:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 04:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 05:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 06:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 07:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 08:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 09:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 10:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 11:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 12:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 13:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 14:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 15:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 16:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 17:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 18:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 19:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 20:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 21:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 22:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-09 23:00:00,0.10474894308093993,0.11452174951456312,0.7550606580000001
1988-04-10 00:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 01:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 02:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 03:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 04:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 05:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 06:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 07:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 08:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 09:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 10:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 11:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 12:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 13:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 14:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 15:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 16:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 17:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 18:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 19:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 20:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 21:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 22:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-10 23:00:00,0.17539357911227157,0.19216361359223302,1.2612945082500002
1988-04-11 00:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 01:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 02:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 03:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 04:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 05:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 06:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 07:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 08:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 09:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
1988-04-11 10:00:00,0.1680855133159269,0.18245838058252428,1.2055229823750002
